epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,50479,2.02,1.24572,2.76283,0.94179,0.39841,0.6728,0.42286,1.72702,1.00728,2.51377,0.00529602,0.00529602,0.00529602
56,51391,2.01478,1.24657,2.7761,0.94,0.39333,0.66968,0.42213,1.72908,1.00385,2.5261,0.00518354,0.00518354,0.00518354
57,52302.5,2.01274,1.24359,2.75737,0.91742,0.43593,0.68182,0.41799,1.74007,1.00474,2.53434,0.00507106,0.00507106,0.00507106
58,53213.9,2.01397,1.24826,2.77036,0.93629,0.4113,0.67792,0.42409,1.72238,1.00634,2.51494,0.00495858,0.00495858,0.00495858
59,54126,1.99671,1.23002,2.74455,0.92207,0.43991,0.68627,0.42514,1.72255,0.9989,2.52525,0.00484609,0.00484609,0.00484609
60,55038.7,2.00392,1.23182,2.74734,0.93326,0.42688,0.68457,0.42897,1.71368,0.99289,2.50031,0.00473361,0.00473361,0.00473361
61,55951.2,2.00966,1.23611,2.75141,0.93813,0.41501,0.68053,0.42763,1.7177,0.9957,2.51465,0.00462113,0.00462113,0.00462113
62,56862.5,1.9931,1.2326,2.7464,0.93447,0.40986,0.67692,0.42464,1.72073,0.99583,2.51453,0.00450865,0.00450865,0.00450865
63,57774.5,1.99228,1.23009,2.74192,0.93179,0.43483,0.68795,0.42768,1.71675,0.98892,2.51459,0.00439617,0.00439617,0.00439617
64,58686.2,1.99578,1.23024,2.74045,0.93608,0.42797,0.68572,0.43039,1.70478,0.99138,2.49312,0.00428369,0.00428369,0.00428369
65,59598.5,1.99219,1.22378,2.73768,0.93655,0.42626,0.68515,0.43214,1.69895,0.97998,2.49263,0.00417121,0.00417121,0.00417121
66,60510.8,1.98486,1.21736,2.73393,0.92908,0.43586,0.6869,0.43031,1.70405,0.98956,2.49705,0.00405873,0.00405873,0.00405873
67,61422.1,1.98311,1.22083,2.72987,0.9412,0.41837,0.68371,0.4322,1.69549,0.98688,2.48756,0.00394625,0.00394625,0.00394625
68,62333.3,1.98703,1.21843,2.73521,0.92896,0.44135,0.69048,0.43353,1.70779,0.97956,2.50304,0.00383376,0.00383376,0.00383376
69,63245.4,1.9761,1.20848,2.72536,0.93119,0.44649,0.69383,0.43539,1.70166,0.97276,2.50171,0.00372128,0.00372128,0.00372128
70,64157.9,1.9813,1.21507,2.71374,0.93191,0.43936,0.69087,0.43273,1.70294,0.97766,2.49508,0.0036088,0.0036088,0.0036088
71,65069.3,1.97923,1.21582,2.72988,0.93959,0.42036,0.68369,0.43267,1.70105,0.97949,2.50079,0.00349632,0.00349632,0.00349632
